Pest,Season/Month,Location/Region,Crop Stage Affected,Trigger Condition,Severity Level,Notes
Fall Armyworm,Sept–Dec,Central,Germination,Cloud cover and poor weeding,Low,Larvae bore into whorl and damage leaves
Locust,Aug–Oct,Eastern,Germination,Migration from breeding zones,High,Delayed response worsened outbreak
Locust,Feb–April,ASAL areas,Vegetative,Cyclones followed by dry winds,High,Isiolo and Garissa hit hardest in 2020
Locust,March–May,Nyanza,Silking,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
Fall Armyworm,March–May,Western,Vegetative,March–May rains after long dry season,Very High,47.3% infestation reported during outbreak
Locust,Feb–April,Eastern,Tasseling,Cross-border swarm movement after breeding,Very High,Swarms matured in Isiolo and Garissa
Corn Earworm,March–May,Coastal,Silking,Silking coinciding with warm spells,Medium,Ears were affected in Kilifi region
